AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
0,5,32,640,38
1,3,23,859,252
1,3,25,1319,318
1,3,24,1288,349
1,4,23,407,99
1,2,27,980,194
1,3,24,1066,130
0,4,13,640,41
1,3,24,1066,289
1,1,24,909,166
1,4,30,461,289
1,3,27,847,5
1,3,24,383,163
0,3,23,640,177
1,4,23,507,226
1,3,26,985,38
1,2,11,125,37
1,3,13,463,274
1,3,24,1066,130
0,2,24,640,104
0,3,15,640,111
1,4,24,234,250
1,3,25,1236,342
0,5,9,640,5
0,2,11,640,111
1,3,25,1136,289
1,2,8,249,320
0,1,23,640,168
1,2,25,559,88
0,3,13,640,220
1,1,15,1116,38
0,4,21,640,296
0,5,9,640,166
0,5,15,640,111
1,3,23,1146,276
1,3,23,268,38
1,3,28,1066,86
1,1,11,450,130
1,3,24,810,329
1,3,15,878,5
1,4,24,408,289
0,2,24,640,111
0,3,20,640,111
0,4,37,1251,211
1,3,37,298,38
1,1,23,1066,98
0,1,7,640,38
1,3,20,1026,320
1,1,25,438,5
1,4,15,616,25
0,3,13,640,5
0,3,14,640,63
0,4,16,640,5
1,4,28,962,318
0,3,36,640,216
1,1,16,852,289
1,3,27,811,307
1,3,25,617,25
0,1,24,640,296
1,3,28,450,25
1,1,26,695,25
1,3,24,494,274
0,2,10,640,216
0,5,3,640,5
0,1,24,640,318
1,5,7,450,38
1,4,28,746,131
1,4,32,980,5
0,5,7,640,324
1,2,27,1235,320
1,3,37,125,308
1,4,24,167,307
0,4,13,637,104
0,3,13,640,220
0,1,10,640,38
1,5,13,696,276
0,4,14,640,104
1,4,23,1104,98
0,4,26,640,139
1,2,11,1245,5
0,3,14,632,216
0,4,23,640,104
1,4,24,158,320
1,3,26,307,353
1,4,32,720,276
1,2,31,847,38
1,3,14,559,250
0,5,8,640,216
1,3,14,450,130
1,4,21,1105,98
1,3,13,847,274
0,3,24,640,104
1,4,26,1341,289
1,4,26,696,252
0,3,24,640,104
1,3,23,149,226
1,4,15,542,307
0,2,9,640,111
1,4,23,479,137
1,3,28,980,194
0,2,10,640,5
0,3,23,1251,186
0,5,14,637,104
1,3,27,450,353
1,1,23,948,89
1,4,27,450,88
0,5,15,640,5
0,2,9,640,111
0,4,14,640,104
1,3,25,1191,226
1,3,24,1066,289
0,1,9,640,5
1,4,14,855,38
0,1,23,640,5
1,3,24,74,307
0,4,13,640,216
1,4,24,263,329
1,3,24,1066,5
1,4,13,768,320
0,1,0,640,324
1,3,23,450,131
0,1,11,640,306
0,3,29,640,104
0,4,27,640,139
1,1,26,1066,86
0,4,27,1207,41
1,4,29,549,226
0,3,29,632,104
1,4,13,696,289
0,4,24,640,38
0,3,13,637,38
0,1,2,640,318
1,4,18,696,274
1,3,24,125,307
1,4,23,1066,289
1,4,17,1195,130
0,1,7,640,324
0,2,15,640,111
0,1,24,640,104
1,3,24,1066,10
1,3,23,61,289
1,2,21,450,36
0,1,23,640,5
0,4,29,640,5
1,1,27,74,237
1,3,35,729,344
0,4,13,640,111
1,4,13,329,130
0,4,23,640,296
0,3,15,640,104
1,3,23,112,89
1,3,25,166,307
0,4,13,637,216
0,2,23,640,197
1,4,27,1291,98
0,2,24,640,104
0,3,13,640,14
1,4,13,696,274
1,3,29,438,318
0,4,27,841,297
1,3,20,450,130
0,3,33,640,216
0,2,11,637,104
1,4,30,450,37
0,4,13,640,291
0,4,13,632,149
0,1,13,640,291
1,2,8,1066,38
1,3,29,232,226
0,3,23,640,332
0,4,18,640,5
1,2,21,234,86
0,2,1,640,215
1,4,23,1191,36
0,4,14,640,296
0,4,24,640,38
1,4,24,696,25
1,3,23,847,274
1,2,25,74,79
1,3,31,559,289
0,2,23,640,216
0,1,10,639,86
0,1,8,640,5
0,3,15,640,111
0,5,13,1271,260
1,4,24,1329,130
0,1,19,640,220
1,3,23,450,276
0,1,19,640,38
1,1,23,681,38
1,3,26,1066,86
1,3,21,879,318
0,4,30,640,104
1,3,25,1288,130
1,2,25,407,103
0,1,8,640,63
1,3,15,956,320
1,1,23,450,5
1,4,23,60,289
1,3,24,1066,86
0,2,14,640,38
1,4,37,449,163
0,1,8,640,41
0,3,13,640,38
1,4,23,463,130
0,5,13,640,217
0,4,13,640,139
1,4,23,585,250
1,4,27,307,98
0,1,8,640,211
0,2,7,640,5
1,1,34,847,358
0,3,26,639,5
1,4,24,696,252
0,4,25,640,38
1,3,11,450,253
1,2,10,811,320
1,3,28,847,150
1,4,32,696,36
1,3,26,1319,318
1,3,27,726,114
0,2,15,640,220
1,4,11,962,5
1,3,23,89,250
0,3,13,637,220
1,3,25,27,353
0,1,24,640,216
1,3,24,1066,86
0,3,13,637,216
0,4,26,53,296
0,1,11,640,5
1,3,26,1066,289
0,4,13,640,5
1,3,28,1066,289
1,3,29,846,358
1,4,20,1365,274
0,3,14,640,111
0,2,14,640,346
1,3,20,1066,38
0,3,23,639,346
0,4,19,640,111
1,2,28,1066,86
1,3,24,450,318
1,3,26,27,318
1,3,14,463,274
1,3,23,764,318
1,4,24,847,25
0,1,14,640,216
0,2,11,640,86
0,3,21,1251,186
1,3,26,847,38
1,3,23,450,25
1,3,24,1066,38
1,3,18,847,5
1,4,13,559,252
1,4,28,190,318
1,4,32,924,318
1,4,25,450,318
1,2,11,450,25
1,3,14,811,329
1,3,30,517,88
0,5,9,640,104
0,4,13,640,295
0,4,23,640,296
1,4,25,450,276
1,3,24,696,276
0,4,37,640,41
0,3,19,640,104
1,4,25,547,226
1,3,35,249,38
1,4,30,167,307
0,3,24,640,86
0,4,13,640,104
1,1,24,450,289
0,3,22,640,38
0,5,14,640,195
1,3,29,450,88
0,5,9,640,5
0,4,28,1251,140
1,3,24,27,98
1,4,13,847,289
1,3,24,601,250
1,3,20,758,88
0,3,13,640,332
0,1,9,640,104
0,3,11,640,166
0,4,23,640,41
1,4,24,307,226
1,3,13,104,38
1,4,21,678,166
0,3,16,637,167
0,1,23,640,197
1,1,13,74,56
1,3,28,559,88
1,4,24,980,194
1,3,13,249,320
1,3,38,1170,307
1,4,34,307,250
1,3,16,565,289
1,3,24,1081,130
1,2,24,124,230
0,2,13,640,167
0,2,9,632,111
1,4,25,962,320
0,1,11,640,104
1,4,23,696,289
1,1,11,450,10
1,2,18,495,274
1,1,0,176,318
1,2,24,407,307
1,3,24,55,329
0,4,14,640,104
1,3,23,1066,318
0,4,13,637,104
1,3,19,847,38
0,3,13,640,111
1,4,21,307,289
0,4,17,640,68
1,3,24,1066,130
1,3,13,317,98
1,4,26,1065,86
1,4,29,779,318
0,1,27,632,38
1,4,26,730,38
1,2,24,450,88
1,1,25,847,130
1,3,13,74,48
1,3,30,846,5
1,1,30,1170,320
1,1,23,917,353
0,3,23,640,41
0,1,18,640,104
1,4,24,696,307
1,3,31,737,137
0,3,14,640,63
0,2,9,640,211
1,3,23,577,250
1,3,24,730,23
1,3,23,585,88
1,4,23,1066,86
0,5,1,640,41
1,4,26,1196,25
1,3,27,962,318
1,4,30,268,165
1,3,23,908,338
1,4,23,232,25
1,4,23,847,289
0,1,11,640,111
0,3,13,640,216
1,2,24,1,130
1,4,15,64,289
0,4,14,640,104
0,1,23,640,295
0,1,8,640,296
0,3,24,640,168
0,4,17,640,38
1,3,30,167,130
0,3,30,640,104
0,4,14,640,104
1,3,22,895,38
1,3,30,125,307
0,1,24,640,104
1,4,23,1066,324
1,3,24,962,318
0,2,13,640,5
1,4,25,847,5
0,4,13,637,214
1,1,34,975,318
1,2,18,268,38
1,3,25,896,5
1,3,15,810,38
0,4,15,640,111
1,4,26,1066,353
1,2,26,1236,38
1,3,13,74,307
0,1,13,640,104
1,3,13,1116,38
1,3,24,936,307
1,4,26,306,98
0,5,3,640,111
1,3,23,277,38
1,1,23,450,252
1,3,30,74,48
1,3,32,1066,165
1,2,15,559,226
1,3,24,450,36
0,4,13,640,111
1,2,7,74,38
1,3,25,1066,130
1,3,23,450,318
1,3,25,1236,320
1,3,24,858,36
0,3,13,640,220
1,3,21,1066,329
0,3,30,640,38
0,2,9,640,104
1,1,23,1359,364
0,2,10,640,167
0,2,11,640,5
1,4,11,686,5
0,3,21,632,86
0,3,14,632,216
0,1,13,640,291
1,3,26,962,204
0,4,14,640,38
0,2,7,640,63
1,3,23,450,289
0,2,14,1251,186
0,1,44,640,104
1,4,26,962,318
0,3,13,640,5
1,2,23,695,114
0,4,23,637,5
1,4,26,463,274
1,4,31,517,25
0,3,13,640,5
1,3,14,980,204
1,2,30,696,239
1,4,20,1066,353
1,3,23,676,5
1,3,28,1104,98
1,4,11,847,320
1,1,20,1066,185
1,4,26,1065,38
1,3,25,1343,318
1,3,23,156,307
1,3,13,1301,31
0,4,24,640,86
1,3,26,1066,353
0,4,13,640,216
1,4,25,343,318
0,1,9,637,291
1,4,23,1291,38
1,4,31,249,5
1,2,24,962,318
1,4,25,1302,318
1,4,26,249,38
1,3,25,565,177
0,1,28,640,139
1,1,13,847,274
1,4,13,936,226
1,3,27,844,258
1,1,13,847,38
0,4,15,640,291
0,4,13,637,63
1,2,34,847,5
1,4,37,1066,89
1,1,11,847,165
1,4,32,450,165
1,1,24,450,130
1,2,24,847,250
1,3,36,450,36
0,4,14,640,104
1,4,23,214,88
1,4,14,847,38
1,3,24,1365,84
0,4,24,640,168
0,1,10,640,41
1,2,14,450,274
1,3,21,1328,226
1,2,11,799,130
0,1,23,640,104
1,2,14,249,38
0,2,8,640,38
1,2,7,847,252
1,2,17,847,38
1,3,24,1066,318
1,4,23,450,274
1,3,14,1116,38
1,3,23,1130,329
0,2,14,640,38
1,3,11,847,165
1,3,24,811,320
1,3,13,847,5
1,4,24,622,36
1,4,21,234,86
1,4,13,681,5
1,4,24,764,318
1,3,23,450,289
1,3,25,450,274
1,2,30,847,5
1,3,19,1255,318
1,3,13,890,38
0,4,19,631,291
1,3,24,696,36
1,3,21,1120,307
0,2,27,640,5
0,3,24,632,38
1,2,11,450,226
1,3,25,187,274
1,1,13,125,114
1,4,29,549,166
1,4,23,847,38
1,3,23,55,86
0,4,23,640,186
1,3,27,169,234
0,4,14,637,291
1,3,30,438,38
0,3,13,640,38
1,4,18,112,5
1,1,8,249,38
0,3,13,640,104
0,4,19,640,291
1,4,28,962,318
1,4,17,1066,165
0,3,13,640,5
0,2,11,1271,59
1,1,24,1066,130
1,4,27,1183,130
1,2,25,878,5
1,1,32,450,289
1,3,24,450,289
1,3,28,437,329
1,3,23,4,36
1,3,17,450,250
1,3,34,1170,307
0,4,14,640,5
1,4,29,450,131
1,3,13,450,36
1,3,24,559,226
1,4,17,443,353
1,4,34,1170,320
1,3,27,74,320
0,5,1,640,5
1,3,24,811,318
0,3,16,640,104
1,3,23,720,88
0,4,13,640,347
0,4,23,640,104
0,1,16,640,104
0,3,30,640,86
0,1,9,640,139
0,4,29,640,291
1,3,23,353,98
0,3,14,640,5
1,3,23,577,289
0,3,25,640,324
1,4,19,249,38
1,1,14,112,36
1,3,32,167,307
1,4,26,1066,38
0,5,23,640,111
1,4,31,1116,353
1,3,14,1066,86
1,2,14,407,331
1,3,24,1130,38
1,3,29,248,317
1,2,23,1066,98
0,3,17,640,38
0,3,15,640,216
0,2,11,640,41
0,3,13,640,220
1,3,25,450,289
1,3,24,962,318
1,1,29,1066,86
1,4,23,847,289
1,3,25,74,48
1,3,26,585,88
0,5,4,640,320
0,4,16,640,104
0,2,8,640,216
0,3,13,640,167
0,4,19,640,5
0,4,13,640,104
1,3,21,1170,38
0,1,9,640,104
1,3,27,962,318
0,3,24,640,104
0,3,18,640,216
0,3,23,640,216
1,4,23,1196,25
1,2,21,1066,274
1,3,21,1066,10
0,3,13,640,5
1,4,19,737,187
1,3,30,547,114
1,3,13,585,130
0,4,11,640,139
1,3,23,1066,86
1,4,29,816,38
0,3,13,640,104
1,4,24,626,318
1,3,23,980,36
1,4,11,249,165
1,4,23,1255,38
1,3,23,1343,353
0,2,8,640,220
0,3,24,640,220
1,3,30,980,269
0,3,14,640,332
1,3,24,450,38
1,4,11,464,5
0,4,16,640,220
1,4,23,1070,89
1,4,25,450,128
1,3,23,1064,166
0,5,2,640,195
1,3,30,495,289
0,4,15,640,38
0,3,13,640,104
0,1,24,640,347
0,5,2,640,104
1,4,24,1235,130
1,3,18,104,318
1,4,16,696,114
1,2,11,1035,38
1,3,24,1066,178
1,4,23,847,88
1,4,25,450,185
0,1,9,640,63
0,4,13,640,318
1,1,24,298,38
1,3,25,847,329
1,4,23,847,289
1,3,24,1066,185
0,5,11,640,347
0,3,13,637,104
1,3,19,878,150
1,4,19,450,88
1,3,13,450,38
0,4,17,640,63
1,3,27,847,38
0,3,13,640,104
1,2,30,450,226
0,1,13,640,332
0,3,18,640,104
0,4,15,640,296
1,3,23,407,103
1,4,11,383,329
1,4,29,1066,226
0,1,13,640,295
1,4,23,930,318
1,4,20,1066,78
0,3,13,639,38
1,3,30,1158,48
1,4,24,1235,329
1,3,23,1052,38
1,3,13,1066,165
0,1,23,640,291
1,2,11,811,36
1,3,25,348,89
0,2,11,640,68
0,3,13,632,5
0,4,37,1059,5
1,4,22,610,320
0,3,14,640,216
1,3,26,956,88
0,4,13,640,104
0,2,17,640,5
1,3,23,847,5
1,4,26,450,274
1,2,11,127,58
0,2,17,1251,211
0,4,19,640,63
1,3,23,890,86
1,3,23,733,130
1,4,25,450,88
1,4,24,521,36
1,4,27,536,289
0,4,14,640,68
1,4,23,737,358
1,3,22,1214,38
1,3,27,55,184
1,4,16,696,114
0,3,34,640,111
0,2,13,640,167
0,2,9,640,220
1,3,27,450,163
1,1,23,1197,25
1,4,32,450,307
1,2,27,1066,38
0,2,8,640,5
0,3,13,637,104
0,4,17,640,302
1,4,23,696,318
0,1,11,640,291
0,2,10,640,216
0,3,13,637,265
0,2,14,640,104
1,3,25,1066,98
0,3,27,1251,211
1,4,30,696,274
1,2,30,765,353
1,4,25,1331,248
0,3,28,640,111
1,4,24,748,166
1,3,14,450,274
0,3,15,640,111
0,2,11,639,38
1,3,29,1066,226
1,3,23,847,358
1,4,27,495,274
1,3,21,1213,5
1,4,23,559,98
1,3,23,1066,336
0,4,13,637,63
0,4,15,640,104
1,4,23,1169,307
1,3,13,74,103
0,3,38,632,216
0,4,24,640,86
1,4,13,524,289
1,2,23,1066,41
1,4,28,125,307
0,1,24,640,291
1,3,23,1254,342
1,3,24,1319,318
1,3,21,696,36
1,4,13,710,252
1,3,23,1105,98
1,3,17,450,274
0,1,23,640,104
1,3,27,847,131
1,4,22,1066,324
0,4,15,1251,205
0,5,9,640,111
0,1,13,637,111
1,3,30,1196,36
0,3,13,640,104
1,4,23,450,88
0,2,11,637,216
1,4,23,1308,252
1,3,24,438,36
0,1,24,922,104
0,2,13,640,63
0,3,13,640,111
0,2,13,640,38
0,5,3,640,5
1,4,26,438,318
1,4,13,407,58
0,4,13,1250,186
0,5,8,640,5
1,2,17,847,5
0,3,13,640,5
0,3,25,640,5
1,4,23,1066,318
0,1,8,640,5
1,3,24,1190,226
1,3,24,407,37
0,4,23,640,139
0,3,39,1251,262
0,1,23,640,104
0,4,24,1251,260
1,4,28,847,88
1,4,16,74,130
0,4,14,640,68
0,4,25,632,5
0,2,23,640,168
0,3,13,640,11
1,4,24,980,194
1,3,21,561,318
1,4,25,1254,248
0,1,15,640,104
1,3,24,1066,89
1,3,23,450,36
1,3,13,585,137
1,3,24,61,166
0,3,24,632,38
1,1,30,1197,25
0,4,25,640,38
1,2,24,1066,130
0,3,14,640,38
0,1,11,640,38
0,3,14,640,104
1,4,19,253,38
0,3,27,632,347
1,3,28,1105,98
1,2,24,1255,250
0,2,8,640,104
1,3,25,407,250
0,3,14,640,16
1,1,31,74,48
1,4,20,495,289
1,3,11,6,89
1,4,13,597,137
0,1,11,640,216
0,3,13,631,11
1,2,24,998,5
1,3,23,1066,89
1,3,25,696,289
1,3,15,793,2
0,5,23,640,41
1,2,13,1111,307
0,5,19,640,320
1,3,23,1158,48
0,3,14,1251,186
1,3,15,261,5
1,2,24,695,25
1,3,31,450,130
0,3,13,640,5
1,3,14,589,307
1,4,28,649,307
0,4,13,1250,186
0,1,9,640,216
1,2,18,450,89
0,1,10,640,38
1,4,15,450,130
0,4,13,640,296
0,2,23,640,216
0,3,13,640,216
1,4,17,112,289
1,4,27,847,38
1,3,28,1066,89
1,3,24,1066,329
0,4,24,640,104
1,4,25,1365,84
0,2,11,640,38
1,3,23,859,289
1,3,13,1066,150
1,3,23,1066,86
0,3,13,632,167
1,3,27,307,320
1,4,24,450,353
0,3,15,640,38
1,4,24,375,166
1,4,23,365,274
0,2,16,640,111
1,4,23,764,318
1,3,24,450,329
1,4,13,524,329
1,3,24,450,88
0,1,14,640,296
1,3,23,351,318
1,1,13,74,227
1,4,17,847,130
1,3,19,450,131
1,3,23,450,185
1,4,25,450,163
1,3,16,1189,226
1,3,24,878,130
1,3,13,847,38
1,3,17,930,5
0,3,14,640,216
1,2,23,450,5
1,3,23,559,226
0,4,11,640,111
0,4,14,640,104
1,4,24,847,318
1,3,13,1116,353
0,1,24,640,291
1,2,13,73,289
0,4,23,637,216
1,3,24,696,276
0,1,9,640,104
0,4,11,636,104
0,5,9,640,104
1,3,24,1017,131
1,3,23,1186,289
0,4,15,640,220
1,3,29,764,318
1,1,34,962,318
1,1,26,166,224
0,4,31,336,220
1,4,27,210,318
1,3,21,424,289
0,2,8,640,5
1,4,11,847,274
1,4,17,737,289
0,3,29,632,38
1,2,23,1066,86
0,3,13,640,38
1,3,26,8,98
1,3,32,980,194
0,3,14,640,63
1,3,14,1274,274
1,1,14,1066,329
1,1,30,167,36
0,4,24,637,216
0,1,9,640,291
0,4,22,640,296
0,4,23,632,139
1,3,23,1135,88
1,4,33,847,150
1,4,13,847,130
1,3,23,438,130
0,4,13,640,296
0,1,13,1251,262
1,2,24,1327,88
1,4,20,1066,10
0,1,19,640,38
1,3,23,696,88
1,1,24,450,329
0,4,30,637,324
0,2,10,640,111
0,3,13,640,61
1,4,27,1334,250
0,3,13,640,63
1,4,23,61,166
0,4,22,637,63
0,4,23,640,111
1,1,2,847,88
1,3,23,1346,38
1,4,27,438,307
0,2,26,632,38
1,4,24,55,130
1,1,23,1255,318
0,4,14,640,296
1,1,24,186,38
1,3,24,450,156
0,1,23,640,139
1,1,29,559,329
0,1,16,640,104
1,1,23,1291,86
1,4,19,45,289
0,1,14,640,38
1,3,23,847,274
1,4,27,450,254
0,4,27,637,5
1,3,21,814,332
1,4,25,450,88
1,3,13,847,5
0,3,13,640,104
1,3,25,450,88
0,3,31,640,216
0,4,23,640,68
1,3,27,450,276
0,1,13,640,104
1,1,13,696,318
1,3,24,438,274
0,2,11,637,5
1,3,24,696,5
1,4,13,249,38
0,5,24,637,111
1,4,28,1066,7
0,4,25,1251,205
0,2,8,640,216
1,2,23,450,128
0,2,24,640,104
1,3,24,1255,38
0,5,1,640,68
0,1,15,637,111
0,3,13,640,111
0,3,25,640,216
1,4,26,962,194
0,3,13,632,220
0,3,15,640,104
1,3,11,559,25
0,1,15,640,167
1,2,32,559,226
1,4,25,1342,318
0,4,13,639,5
1,4,24,962,2
0,4,23,640,41
1,4,26,552,226
1,4,14,1365,282
1,4,15,847,5
0,4,13,640,295
1,2,15,463,38
1,3,13,60,250
0,3,30,640,216
1,3,21,979,38
1,2,14,855,130
0,2,13,640,111
1,1,27,450,274
1,3,13,696,88
1,4,24,125,274
1,4,23,1066,289
0,1,3,640,63
0,3,13,640,220
1,3,26,559,150
1,4,25,450,88
0,1,17,637,63
0,4,23,640,15
1,4,29,249,38
0,1,9,640,139
1,3,13,71,137
0,3,14,640,38
1,3,25,74,69
1,2,15,112,89
1,3,23,152,289
1,3,26,249,38
0,2,9,637,38
1,1,11,847,38
0,4,13,640,216
1,4,14,450,88
0,3,14,640,104
1,3,24,865,130
1,3,23,450,165
1,3,30,1255,38
0,3,19,640,5
0,1,11,637,111
0,3,13,640,167
0,1,17,637,41
1,4,14,407,318
1,3,26,1066,307
1,3,24,559,238
1,4,23,112,274
1,3,25,847,5
1,3,24,450,274
0,4,15,640,104
0,4,34,640,296
1,3,26,446,289
1,4,24,1066,38
1,3,23,1149,289
1,2,14,570,307
0,3,14,637,38
1,3,25,1066,78
0,3,14,640,104
0,4,13,640,296
1,3,24,450,289
0,4,13,637,63
1,3,25,280,274
1,4,27,962,3
1,4,28,1066,130
1,2,21,226,36
1,3,32,559,274
1,3,32,450,25
0,2,9,632,38
0,4,11,640,5
0,3,14,639,41
1,3,23,450,274
1,4,11,307,250
1,3,23,463,163
0,1,11,640,68
1,3,13,167,128
1,3,25,847,358
1,4,26,74,320
1,4,25,1066,130
1,2,11,450,130
0,3,25,640,38
1,4,13,1197,36
1,3,24,280,346
1,4,25,696,114
1,4,18,74,349
1,3,24,179,329
1,3,27,333,38
1,4,13,847,5
1,3,16,280,204
1,3,24,980,204
1,3,26,924,318
0,4,15,640,38
0,1,26,637,291
1,3,25,301,38
0,4,35,640,63
1,4,24,561,204
1,4,29,125,307
1,4,29,617,36
1,3,24,101,130
1,2,15,695,276
1,4,23,450,5
1,3,25,1066,250
0,2,9,640,104
0,4,14,640,220
1,3,36,357,289
1,3,13,881,38
1,3,15,74,48
0,4,13,640,104
0,4,53,640,5
0,4,14,631,41
0,4,25,640,104
0,1,23,640,139
1,3,25,486,226
1,4,13,1116,354
0,3,11,640,338
1,3,28,339,130
1,1,24,27,362
1,2,11,1066,89
0,1,24,640,104
1,3,24,878,5
1,4,23,450,250
0,5,23,640,5
1,4,19,1066,78
1,4,23,307,289
0,4,13,640,5
0,4,13,637,296
1,3,35,1191,252
0,4,13,640,41
0,1,11,640,63
0,4,14,640,291
0,3,28,640,38
0,1,23,640,111
0,5,6,640,5
1,1,23,1066,98
1,4,31,810,353
1,3,28,1066,178
1,1,25,74,320
0,3,13,640,104
0,1,9,640,320
1,3,36,1170,307
0,1,10,640,5
0,4,24,640,296
0,3,13,640,216
1,2,34,988,198
1,1,28,1135,135
1,3,23,1061,88
1,3,25,450,336
0,3,16,640,104
1,3,25,401,276
1,4,24,1337,165
1,5,1,61,307
0,4,13,1251,211
1,3,25,438,36
1,4,26,1066,320
1,3,25,186,349
0,5,10,640,104
1,3,27,559,248
1,3,23,847,38
1,3,23,1091,130
0,4,24,640,42
0,2,11,640,38
0,5,8,640,320
0,3,13,640,220
1,3,15,847,38
0,3,15,640,104
1,3,25,696,36
0,3,24,640,5
1,3,13,847,5
0,1,13,640,216
1,3,34,512,88
0,2,24,640,216
1,4,29,450,289
0,4,14,640,216
0,4,24,639,104
1,4,24,857,274
0,1,7,640,291
1,4,27,307,130
1,3,23,450,163
0,5,9,640,38
0,3,40,639,216
1,3,24,1066,38
1,4,24,450,114
0,2,7,640,216
1,4,28,696,274
1,3,28,924,318
0,4,24,1251,211
1,3,27,450,289
1,3,24,55,250
0,5,25,640,220
0,4,13,640,41
1,4,24,847,38
1,2,24,1066,324
0,3,13,640,63
1,4,28,1075,38
0,5,23,640,5
1,1,15,559,226
1,4,16,450,318
1,3,25,956,36
1,4,28,167,307
1,3,24,1274,318
1,1,8,1066,38
0,3,13,640,216
0,4,13,640,139
0,2,3,632,5
0,3,24,640,104
0,3,25,640,104
0,3,13,637,5
0,4,13,640,167
1,3,27,559,36
1,3,27,74,227
1,2,11,847,358
1,3,23,1365,36
0,4,13,640,86
1,3,20,847,274
1,4,16,194,38
1,3,27,1316,130
1,3,23,112,250
1,4,24,1066,289
1,4,38,924,318
0,3,14,640,216
1,3,25,726,25
1,4,23,1158,56
0,2,8,640,38
1,1,25,450,274
0,5,14,1252,260
0,2,17,640,220
1,4,23,377,289
0,5,0,640,104
1,3,23,196,25
1,4,30,847,5
0,3,13,640,41
1,3,32,450,307
0,3,13,637,38
1,3,23,74,230
1,4,24,962,194
1,4,28,980,194
0,1,11,640,5
0,4,24,640,216
1,3,29,298,98
0,2,25,640,5
1,4,15,1066,86
1,1,24,1066,130
1,2,9,847,318
1,2,25,234,86
0,1,23,640,38
1,3,26,250,38
1,4,30,1149,5
0,3,26,640,111
1,2,24,1066,38
1,3,26,463,36
0,3,13,640,38
1,4,17,1066,185
1,3,23,1365,276
1,3,13,220,179
0,5,15,640,320
1,4,24,298,98
0,1,10,640,5
1,3,16,847,38
1,3,19,847,88
1,3,25,1197,25
1,2,23,811,329
0,2,13,632,111
1,4,25,306,239
1,3,24,280,329
0,2,25,640,111
1,3,27,696,114
1,4,28,449,274
0,2,2,639,195
1,1,11,438,88
1,4,21,801,130
1,3,15,1066,353
1,4,31,696,250
1,3,24,1158,88
1,3,27,1066,279
1,4,23,1116,320
0,3,11,640,220
1,3,24,955,84
1,4,29,847,252
0,3,13,640,5
1,2,24,1235,330
1,4,15,125,38
1,3,24,420,329
1,4,23,1353,329
1,3,20,854,274
0,1,23,640,291
1,2,27,1039,250
0,3,37,637,41
1,4,24,407,58
0,1,9,637,291
1,4,30,810,329
0,3,13,632,11
1,3,24,361,38
0,5,8,640,296
1,3,15,847,5
0,4,11,640,296
0,3,14,640,104
1,3,28,709,252
0,3,14,640,104
0,2,19,640,5
1,1,14,1093,226
1,3,24,695,125
0,1,4,637,296
0,1,13,640,104
1,3,32,811,329
0,1,23,640,104
0,3,14,640,220
1,1,11,847,5
0,4,11,640,296
1,4,23,696,5
1,3,27,559,226
1,3,24,559,48
1,3,39,297,38
1,4,19,311,98
1,3,23,696,36
1,4,26,1145,5
0,3,14,640,38
1,3,13,696,36
1,1,29,1066,38
0,1,22,640,139
0,4,13,1251,211
1,3,25,1066,98
0,4,14,637,104
1,2,11,1197,38
0,3,13,841,186
1,2,17,249,38
1,3,25,914,5
0,1,23,640,139
0,3,27,640,5
0,3,14,1271,260
0,3,26,640,38
0,2,23,640,5
0,3,15,640,104
1,3,13,524,130
1,4,24,518,226
1,4,13,401,274
1,4,27,463,250
0,4,13,640,63
0,4,16,637,38
1,3,29,1032,329
0,3,30,640,216
0,1,15,640,5
1,3,24,881,358
1,4,25,1066,38
1,4,14,1066,86
0,1,21,1168,211
0,3,23,640,104
1,3,27,125,307
0,3,13,640,5
1,2,16,1359,353
0,4,13,640,296
1,4,20,1323,98
1,3,27,1170,320
0,1,7,640,104
1,3,13,847,38
1,1,32,74,88
0,3,24,640,104
1,4,24,1170,353
0,2,11,640,38
0,3,23,640,220
1,4,27,547,226
1,3,24,407,51
0,3,24,640,216
0,1,9,640,104
1,4,24,648,330
0,3,26,1251,186
0,1,23,640,139
1,4,28,307,98
1,3,15,1346,353
1,4,15,27,130
1,4,24,1170,307
1,4,13,450,163
1,3,13,737,187
0,3,14,640,38
0,4,13,632,291
1,2,26,1066,336
1,3,24,450,307
1,1,31,1221,88
1,3,23,567,34
1,3,24,450,88
0,4,29,640,146
1,3,23,74,231
1,3,11,865,38
0,1,23,640,111
1,1,11,450,274
1,3,24,383,250
1,2,23,268,38
1,3,11,958,278
1,3,11,559,36
1,3,25,548,36
1,4,24,450,38
0,3,13,640,104
1,4,17,1332,239
1,3,23,61,276
1,4,26,847,150
1,2,25,1145,178
0,2,15,640,41
1,3,34,1135,248
1,2,14,1186,289
0,4,13,640,139
0,4,30,640,38
0,1,23,637,104
1,3,22,450,274
1,2,27,847,187
0,3,17,640,167
0,2,24,637,63
0,3,30,838,324
0,1,11,640,5
0,4,27,640,86
1,3,24,1197,36
1,2,29,27,353
1,3,24,736,358
0,2,2,640,104
0,3,31,640,216
1,4,31,167,307
0,5,0,640,5
0,3,17,640,38
1,4,24,585,226
1,1,23,1066,320
0,2,8,640,216
1,1,13,74,130
0,4,23,640,216
1,3,28,847,150
1,2,26,1066,320
0,1,12,637,104
1,3,23,1369,353
1,4,23,89,48
1,3,27,450,329
1,3,21,463,98
0,2,10,640,5
0,4,26,637,68
1,2,2,696,38
1,4,23,962,274
1,3,24,514,88
